supermercado,provincia,localidad,direccion,latitude,longitude
Carrefour Express,Córdoba,Córdoba,Duarte Quirós 1851,-31.4115915,-64.2096973
Carrefour Express,Córdoba,Córdoba,Ituzaingó 921,-31.4277664,-64.185965
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Beiró 3345,-34.5985606,-58.5002068
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Independencia 3802,-34.621337,-58.4195463
Carrefour Express,Córdoba,Córdoba,Boulevard San Juan 835,-31.4180024,-64.1971485
Carrefour Express,Córdoba,Córdoba,Mariano Fragueiro 2220,-31.389622,-64.1837779
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Guatemala 4540,-34.5875903,-58.4230407
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Chiclana 3002,-34.6306324,-58.4065591
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Nogoya 2744,-34.6006294,-58.4877734
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Roosevelt 2268,-34.5567116,-58.4594032
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Soler 5748,-34.5797407,-58.4341472
Carrefour Hipermercado,Buenos Aires,La Plata,Camino Gral. Belgrano,-34.8816745,-58.0513546
Carrefour Express,Buenos Aires,Villa Ballester,Artigas 4925,-34.5509077,-58.5559691
Carrefour Express,Mendoza,Mendoza,Avenida Vicente Zapata 42,-32.8894155,-68.8446177
Carrefour Express,Capital Federal,Almagro,Medrano 414,-34.6057867,-58.4213941
Carrefour Express,Córdoba,Córdoba,Avenida Capdevila 264,-31.3804878,-64.1711174
Carrefour Express,Córdoba,Córdoba,San Jerónimo 3034,-31.4237473,-64.1451332
Carrefour Express,Córdoba,Córdoba,Castro Barros 359,-31.4224526,-62.0761978
Carrefour Express,Córdoba,Córdoba,Santa Fe 49,-32.5499959,-62.9851053
Carrefour Express,Mendoza,Mendoza,Av. España 1244,-32.8894155,-68.8446177
Carrefour Express,Capital Federal,Villa Crespo,Avenida Juan B. Justo 3695,-34.6026108,-58.4559816
Carrefour Express,Mendoza,Mendoza,San Lorenzo 690,-32.8923502,-68.8489208
Carrefour Express,Mendoza,Mendoza,Pueyrredón 283/291,-32.8993544,-68.8521353
Carrefour Express,Capital Federal,Ciudad de Buenos Aires,Núñez 3802,-34.5571056,-58.4797941
Carrefour Express,Capital Federal,Caballito,Avenida Tte. Gral. Donato Álvarez 194,-34.6205897,-58.4413922
Carrefour Express,Mendoza,Mendoza,Paso de los Andes 2212,-32.9032826,-68.8605285
Carrefour Express,Mendoza,Mendoza,Juan Agustín Maza 2777,-32.8788145,-68.8414621
Carrefour Express,Mendoza,Mendoza,Montevideo 244,-32.8923221,-68.8431189
Carrefour Express,Córdoba,Córdoba,Santiago Temple 212,-31.4313699,-64.1938588
Carrefour Express,Capital Federal,Villa Urquiza,Avenida Monroe 5771,-34.5792229,-58.4949379
Carrefour Express,Mendoza,Maipú,Ozamis 31,-32.9856045,-68.7907667
